Kanton;Geschlecht;Altersklasse;2013;2023
St. Gallen;Geschlecht - Total;35-39 Jahre;31;45
St. Gallen;Geschlecht - Total;40-44 Jahre;23;41
St. Gallen;Geschlecht - Total;45-49 Jahre;14;27
St. Gallen;Geschlecht - Total;50-54 Jahre;15;22
St. Gallen;Geschlecht - Total;55-59 Jahre;6;17
St. Gallen;Geschlecht - Total;60-64 Jahre;6;8
St. Gallen;Geschlecht - Total;65-69 Jahre;4;4
St. Gallen;Geschlecht - Total;70-79 Jahre;2;2
St. Gallen;Geschlecht - Total;80-89 Jahre;0;1
St. Gallen;Geschlecht - Total;90 Jahre und +;0;0
St. Gallen;Geschlecht - Total;ohne Angabe;1;0
St. Gallen;Mann;Altersklasse - Total;239;333
St. Gallen;Mann;<10 Jahre;0;NA
St. Gallen;Mann;10-14 Jahre;10;12
St. Gallen;Mann;15-17 Jahre;33;28
St. Gallen;Mann;18-19 Jahre;14;24
St. Gallen;Mann;20-24 Jahre;48;45
St. Gallen;Mann;25-29 Jahre;38;56
St. Gallen;Mann;30-34 Jahre;24;45
St. Gallen;Mann;35-39 Jahre;23;38
St. Gallen;Mann;40-44 Jahre;17;28
St. Gallen;Mann;45-49 Jahre;9;19
St. Gallen;Mann;50-54 Jahre;8;16
St. Gallen;Mann;55-59 Jahre;NA;10
St. Gallen;Mann;60-64 Jahre;NA;NA
St. Gallen;Mann;65-69 Jahre;NA;NA
St. Gallen;Mann;70-79 Jahre;NA;NA
St. Gallen;Mann;80-89 Jahre;0;NA
St. Gallen;Mann;90 Jahre und +;0;0
St. Gallen;Mann;ohne Angabe;NA;0
St. Gallen;Frau;Altersklasse - Total;78;92
St. Gallen;Frau;<10 Jahre;0;NA
St. Gallen;Frau;10-14 Jahre;2;0
St. Gallen;Frau;15-17 Jahre;6;6
St. Gallen;Frau;18-19 Jahre;9;4
St. Gallen;Frau;20-24 Jahre;16;12
St. Gallen;Frau;25-29 Jahre;10;13
St. Gallen;Frau;30-34 Jahre;5;12
St. Gallen;Frau;35-39 Jahre;8;7
St. Gallen;Frau;40-44 Jahre;6;13
St. Gallen;Frau;45-49 Jahre;5;8
St. Gallen;Frau;50-54 Jahre;7;6
St. Gallen;Frau;55-59 Jahre;NA;7
St. Gallen;Frau;60-64 Jahre;NA;NA
St. Gallen;Frau;65-69 Jahre;NA;NA
St. Gallen;Frau;70-79 Jahre;NA;NA
St. Gallen;Frau;80-89 Jahre;0;NA
St. Gallen;Frau;90 Jahre und +;0;0
St. Gallen;Frau;ohne Angabe;NA;0
Aargau;Geschlecht - Total;Altersklasse - Total;316;353
Aargau;Geschlecht - Total;<10 Jahre;0;0
Aargau;Geschlecht - Total;10-14 Jahre;19;27
Aargau;Geschlecht - Total;15-17 Jahre;36;35
Aargau;Geschlecht - Total;18-19 Jahre;26;19
Aargau;Geschlecht - Total;20-24 Jahre;59;47
Aargau;Geschlecht - Total;25-29 Jahre;49;45
Aargau;Geschlecht - Total;30-34 Jahre;25;45
Aargau;Geschlecht - Total;35-39 Jahre;32;33
Aargau;Geschlecht - Total;40-44 Jahre;21;42
Aargau;Geschlecht - Total;45-49 Jahre;18;17
Aargau;Geschlecht - Total;50-54 Jahre;13;18
Aargau;Geschlecht - Total;55-59 Jahre;8;12
Aargau;Geschlecht - Total;60-64 Jahre;4;7
Aargau;Geschlecht - Total;65-69 Jahre;0;2
Aargau;Geschlecht - Total;70-79 Jahre;4;4
Aargau;Geschlecht - Total;80-89 Jahre;2;0
Aargau;Geschlecht - Total;90 Jahre und +;0;0
Aargau;Geschlecht - Total;ohne Angabe;0;0
Aargau;Mann;Altersklasse - Total;236;270
Aargau;Mann;<10 Jahre;0;0
Aargau;Mann;10-14 Jahre;14;19
Aargau;Mann;15-17 Jahre;24;32
Aargau;Mann;18-19 Jahre;23;18
Aargau;Mann;20-24 Jahre;44;39
Aargau;Mann;25-29 Jahre;39;33
Aargau;Mann;30-34 Jahre;21;35
Aargau;Mann;35-39 Jahre;26;27
Aargau;Mann;40-44 Jahre;13;34
Aargau;Mann;45-49 Jahre;12;10
Aargau;Mann;50-54 Jahre;9;12
Aargau;Mann;55-59 Jahre;NA;4
Aargau;Mann;60-64 Jahre;NA;NA
Aargau;Mann;65-69 Jahre;0;NA
